254000	0.019	9.554
255000	0.020	9.574
256000	0.022	9.596
257000	0.022	9.618
258000	0.021	9.639
259000	0.021	9.660
260000	0.021	9.681
261000	0.022	9.703
262000	0.022	9.724
263000	0.020	9.745
264000	0.020	9.765
265000	0.019	9.784
266000	0.017	9.801
267000	0.018	9.819
268000	0.017	9.837
269000	0.018	9.854
270000	0.019	9.873
271000	0.019	9.892
272000	0.020	9.911
273000	0.020	9.931
274000	0.020	9.950
275000	0.021	9.971
276000	0.021	9.992
277000	0.022	10.014
278000	0.021	10.035
279000	0.021	10.056
280000	0.020	10.076
281000	0.021	10.098
282000	0.022	10.120
283000	0.024	10.143
284000	0.023	10.166
285000	0.023	10.188
286000	0.023	10.212
287000	0.025	10.237
288000	0.027	10.264
289000	0.027	10.291
290000	0.029	10.320
291000	0.030	10.349
292000	0.029	10.378
293000	0.028	10.406
294000	0.028	10.434
295000	0.029	10.463
296000	0.027	10.490
297000	0.028	10.518
298000	0.028	10.547
299000	0.030	10.576
300000	0.031	10.608
301000	0.030	10.638
302000	0.030	10.668
303000	0.031	10.699
304000	0.030	10.729
305000	0.031	10.760
306000	0.031	10.791
307000	0.032	10.823
308000	0.032	10.855
309000	0.033	10.888
310000	0.032	10.920
311000	0.034	10.954
312000	0.033	10.987
313000	0.032	11.018
314000	0.031	11.049
315000	0.031	11.080
316000	0.030	11.110
317000	0.030	11.140
318000	0.030	11.170
319000	0.031	11.201
320000	0.032	11.234
321000	0.032	11.266
322000	0.033	11.298
323000	0.031	11.330
324000	0.031	11.361
325000	0.031	11.392
326000	0.032	11.424
327000	0.033	11.457
328000	0.034	11.490
329000	0.034	11.524
330000	0.035	11.560
331000	0.035	11.595
332000	0.034	11.629
333000	0.034	11.662
334000	0.034	11.696
335000	0.035	11.731
336000	0.035	11.766
337000	0.035	11.802
338000	0.034	11.836
339000	0.033	11.869
340000	0.032	11.901
341000	0.031	11.932
342000	0.032	11.964
343000	0.032	11.995
344000	0.030	12.025
345000	0.030	12.055
346000	0.029	12.084
347000	0.029	12.113
348000	0.028	12.141
349000	0.028	12.168
350000	0.027	12.196
351000	0.027	12.223
352000	0.029	12.251
353000	0.028	12.280
354000	0.028	12.307
355000	0.028	12.335
356000	0.028	12.363
357000	0.028	12.391
358000	0.029	12.419
359000	0.030	12.449
360000	0.031	12.480
361000	0.031	12.511
362000	0.032	12.543
363000	0.033	12.576
364000	0.034	12.610
365000	0.034	12.644
366000	0.035	12.679
367000	0.035	12.715
368000	0.036	12.751
369000	0.037	12.788
370000	0.037	12.825
371000	0.038	12.863
372000	0.038	12.900
373000	0.037	12.937
374000	0.038	12.976
375000	0.038	13.014
376000	0.037	13.050
377000	0.035	13.085
378000	0.035	13.120
379000	0.036	13.156
380000	0.036	13.192
381000	0.036	13.228
382000	0.035	13.263
383000	0.034	13.297
384000	0.034	13.331
385000	0.033	13.363
386000	0.032	13.395
387000	0.031	13.426
388000	0.030	13.456
389000	0.031	13.487
390000	0.031	13.518
391000	0.030	13.548
392000	0.030	13.578
393000	0.030	13.608
394000	0.031	13.638
395000	0.031	13.669
396000	0.031	13.700
397000	0.031	13.731
398000	0.031	13.761
399000	0.030	13.791
400000	0.029	13.820
401000	0.030	13.850
402000	0.028	13.878
403000	0.026	13.905
404000	0.026	13.931
405000	0.026	13.957
406000	0.027	13.983
407000	0.026	14.010
408000	0.026	14.036
409000	0.026	14.062
410000	0.025	14.087
411000	0.022	14.109
412000	0.023	14.131
413000	0.025	14.156
414000	0.025	14.181
415000	0.024	14.205
416000	0.024	14.230
417000	0.024	14.254
418000	0.023	14.277
419000	0.022	14.299
420000	0.022	14.321
421000	0.023	14.344
422000	0.023	14.366
423000	0.024	14.391
424000	0.025	14.415
425000	0.025	14.440
426000	0.025	14.466
427000	0.026	14.491
428000	0.027	14.518
429000	0.028	14.547
430000	0.028	14.575
431000	0.026	14.601
432000	0.026	14.628
433000	0.026	14.654
434000	0.027	14.680
435000	0.027	14.707
436000	0.028	14.735
437000	0.028	14.763
438000	0.029	14.792
439000	0.030	14.822
440000	0.032	14.854
441000	0.032	14.886
442000	0.032	14.918
443000	0.034	14.952
444000	0.035	14.987
445000	0.033	15.020
446000	0.034	15.054
447000	0.034	15.087
448000	0.036	15.123
449000	0.037	15.160
450000	0.038	15.198
451000	0.039	15.237
452000	0.039	15.276
453000	0.039	15.315
454000	0.039	15.354
